,R_AAA,R_ABE,R_ADO,R_AED,R_AEI,R_AGB,R_AGS,R_AHN,R_AIQ,R_AJI,R_AJY,R_AKC,R_AKF,R_AKQ,R_ALR,R_AMJ,R_AMZ,R_ANQ,R_ANT,R_APE,R_APY,R_AQI,R_AQK,R_ASN,R_ATG,R_AUD,R_AUF,R_AUK,R_AVI,R_AVP,R_AVR,R_AXN,R_AYM,R_AZX,R_BAF,R_BAH,R_BAN,R_BBG,R_BBU,R_BDL,R_BDR,R_BFS,R_BHA,R_BHI,R_BHP,R_BIF,R_BKQ,R_BKY,R_BLB,R_BLD
R_ATG,1.7306512241417418,1.5599701297738557,0.5311424708503039,0.15171628532347964,1.5908206985345186,1.578994764990346,1.275489454470599,2.3002076648250265,0.8699367088640686,2.286157485774164,1.4059215134594312,1.1889018294104259,1.3734038502292714,1.678096264247786,2.488015247300546,1.674393335341449,1.5202311912054656,0.8457670998414812,2.119180163042105,2.430186236561358,1.4739725886606896,1.6941393167517238,1.6946523833520772,1.7743300481698623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AUD,1.5886595807838932,1.4634593624927281,0.7682002285508343,1.0081623326981728,1.0184284407937496,1.271873736873512,1.206286085003135,2.017142942787734,0.4529219541731275,2.127436576039882,1.3052652125006587,0.8685164847315192,1.3523970529843385,1.664989728782271,2.1477343186145363,1.2011628644484469,1.2727150128244693,0.7635938260492237,1.5229692741985943,2.0957889717912512,1.2331215665548405,1.6669267641428491,1.1889494342279607,1.797230221646525,0.9391125372084009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AUF,1.021460483280447,0.9628929267635066,0.7762121030410455,1.1729044630853596,0.3054705195916649,1.0381682344150913,1.033454641691824,1.501954688921602,0.9406948702119888,1.5880266262261449,1.0402197704549005,0.955460977325479,1.1295439981683548,1.2843079412260578,1.5216732741886818,0.7894812090570893,0.6331881620977869,0.665745921610018,0.9303800121219404,1.3033086977900346,0.7508610034845776,1.4546154615210782,0.6365867093830334,1.4598064748496886,1.1675570924603194,0.7672225061247209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AUK,0.23582928528353952,0.4589817429732429,1.2567116966656582,1.748660736260101,0.9959063069020888,0.8030992515979188,0.837655631289208,1.0335510395440488,1.4249992503237223,0.5041985762269773,0.6734953795516596,1.056600711609601,0.820483394150506,0.789546219565254,0.31799653686022994,0.6974089249440157,0.8273066478687323,1.760160095764416,0.8109953790593469,0.49025675586885104,0.8384446118466196,1.007005426643767,0.8452402212226442,0.9579662481431099,1.8835972847997087,1.7685494537223736,1.1919553682395505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AVI,0.6498599895225197,0.5091837999511183,0.9866093093486404,1.4370508152357884,0.9414271369106122,0.8062164043149546,0.54616202890793,0.7502016108706175,1.3638326444039621,0.9235506442265404,0.8319144063304345,1.1036951975589964,0.568224129181189,0.6740661708466351,1.0222790504586932,0.764750796202438,0.29695527569930313,1.4080423974756107,0.8463516269934239,0.871159959740497,0.720310484421204,0.8728733297552596,0.6908177287505699,0.5933649626136555,1.7021461720815045,1.5084940935234075,0.926445059535991,0.8137788058165186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AVP,0.764477869316662,0.6837336467513043,0.661345828277254,1.0694616460637634,1.1061707581876647,0.6681444910102529,0.3104285911151238,1.1677584366860243,0.746056485149923,0.9917027624185131,0.6376235380418036,0.8170840452773653,0.35674631381873234,0.7238929664795717,1.3466928153848579,0.711361898846556,0.8306906903699619,1.295804125460541,1.0621731882818206,1.2564368170223423,0.9266555052154594,0.3203163885353999,1.013983429997246,0.7111704545724211,1.167683505856743,1.1873239668833713,0.9860544392896228,0.9410620209794469,0.8082938716362887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AVR,0.4387926922350691,1.0432647495420488,1.782720019074361,2.264048176343142,0.9530384984294533,1.2620897440013017,1.0813112983986313,1.0481834763736266,1.8528036359974114,0.557627374047353,1.3874647064013454,1.6964935815986044,1.2294509226264636,1.5639522839387694,0.4860813057430702,0.8923389282054758,1.120060646341594,1.896797830016689,0.5260490858010847,0.5229350253409808,1.3657348094123087,1.454533622829255,1.0622587179776957,1.3791062449097284,2.3840421736424804,1.9911225849023133,1.364464432373667,0.5380889264831578,1.2233331023207004,1.222539332837921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AXN,1.255881872561726,1.1141916842164528,1.081583822735575,1.3936249837781576,0.6362321104701577,0.7334366800326302,1.0775976171210924,1.6148086079540553,0.6305746746255506,1.8540736972526464,1.06983030534353,0.6812295951696383,1.1299643815579292,1.1471968170725104,1.778517562514932,0.6083047906531702,1.1253604068690293,0.9330388885522667,1.120930984759773,1.7406646752374444,0.8575619367181564,1.3793967766204274,0.7643598321443076,1.4893047954439769,1.3141809737036967,0.6382517231901623,0.6673283396915743,1.4299120800360259,1.2957663865567124,1.1385190301279762,1.5831066483916352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AYM,0.39283933714433067,0.54216860719139,1.2967810435315141,1.7730562480965768,0.7327304452394836,0.9451363269854642,0.854060541138408,1.0278565347790394,1.5728608808237055,0.8092859752249459,0.8504495008695305,1.2316413064874652,0.8101317840026077,0.8017244996070778,0.5136302030188861,0.7174734991434197,0.6225771117551923,1.6571902461234536,0.6342298363191086,0.3937041967284306,0.7151764983947901,1.0704049161247151,0.5899034864974633,0.959978039647936,2.0095215416087613,1.786319505827365,1.0730247224545362,0.461308383916858,0.6654239289229361,0.9779358386277797,0.7064786970053097,1.388223909718704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AZX,0.7894986770103697,1.1626680994940344,2.086078954606066,2.5408357219490774,1.20713033410797,1.6347150761895515,1.2918872784591695,0.9733706147944907,2.3238756290459084,0.722631415234418,1.8275985746992802,2.2211861593359155,1.4802155518915177,1.7631129059234596,0.5015309409719491,1.1950100125583227,1.135315261811619,2.000432068787813,0.7826270324247819,0.2334805525309707,1.6769955250571953,1.7736026362972175,1.2881173209791745,1.3763607970986627,2.704886765807828,2.3194600193776815,1.5146867579890244,0.7429495848113069,1.1947567726190254,1.4004261056237388,0.512680786884842,1.987433352798854,0.7225403398837211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BAF,0.7728083840078601,0.5219680704704188,0.6519808916056063,1.0427156974364382,1.0386303358168332,0.5378721018790014,0.5924808663857561,1.2177315676479685,0.6498565143349361,1.089016961509461,0.5171898840619579,0.5672750988080845,0.6180806760315409,0.5161228147533272,1.4227834085794466,0.715390270724948,0.856270057836805,1.2848184500494129,1.1038072389990083,1.3427674017759001,0.6615214207441412,0.6689475033104664,0.9284415109587167,0.7379797147270077,1.0565298708908748,1.1049349596775246,0.8884821154803355,0.8999449562081419,0.8166949279719941,0.4663641992419367,1.35272494260885,0.9862714275418778,0.9712075355673255,1.5332876239520112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BAH,1.1301799404210149,1.0497048989904518,0.702601239014576,0.9688402873487647,1.2192715151994058,1.091982172745396,0.5394374895932786,1.3562061034337023,0.967105512382829,1.728771249747303,1.0272694703414615,1.1132140822656904,0.5769560271344069,1.068868696072242,1.6307291604904948,1.0802085732142428,0.7299960956654035,1.1131909895603227,1.256490026667125,1.6154754628501444,1.1842766690832396,0.8493726002400247,1.1635450002916745,1.0796772964265253,1.105559791406557,1.0509108844340902,1.010501109142049,1.3557428059078895,0.7236928385412698,0.7112733369738173,1.6467745438288424,1.1786931974384218,1.2541199793182873,2.0249481938423655,0.8907250143715006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BAN,0.9549740340157691,1.221032436131948,1.9805368416542577,2.406334177278373,1.886337285260288,1.4865240683325947,1.3815963348931777,1.3487333463796531,2.2357082928848495,0.36740856871902033,1.6201848482929369,2.095196500677763,1.4260059262066438,1.4628172760580587,1.229156941130007,1.3686464836213803,1.5814765023611481,2.265631558981826,1.5829905086798721,1.1288429566968086,1.9563734314697379,1.4047783796832003,1.87687270954141,0.8975642032186132,2.687638205923805,2.593448323391762,2.141769635204189,1.0037872149316087,1.3597618850529212,1.2039692820849595,1.0001081288033036,2.2947077397885236,1.3337514966314867,1.2205445846119067,1.3677325773339455,2.2413569532012847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BBG,0.5924573132608962,0.3521403476324549,0.978004059605553,1.4687254632194267,1.0646433707592522,0.7414532448167392,0.6352508785908377,0.7767557428153538,1.269417306549379,0.7602884826928105,0.6814757999291386,0.9171810772901525,0.564218502645569,0.34325305072893436,1.0841473872419876,0.6683627656039354,0.6552705881056177,1.6106135493965361,0.8306605094665426,0.9493452418750592,0.7397935133156832,0.8322483910905543,0.8093345043088824,0.4422997827698047,1.7364946285015275,1.6846983216075708,1.1886412668910613,0.6912988157726468,0.45298212960408524,0.7376368060075502,1.2786927902944762,1.2402206957844268,0.5950989858244784,1.2982306489859838,0.6789426472817337,1.1078917158411674,1.0690559674350653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BBU,1.0174649573069956,0.8451057786824542,0.7462001846594197,1.190596468905166,1.4439006859800325,1.0499618466716811,0.6943634897657665,1.1194999838361506,1.0772470759080202,0.9259364616537513,0.9257467600787673,1.1204645305244108,0.6954204607987755,0.5107639982310146,1.5828137104952678,1.1248845076473426,0.9565613664937902,1.5082067255801033,1.4176410816987506,1.4293493433158362,1.200054113885435,0.8697659103167594,1.3467587405483166,0.4792235659542671,1.4088911094086358,1.4478892898948406,1.334985990021336,1.1407735536854746,0.7799692120452472,0.6272084795911468,1.641616393587197,1.5053654515370363,1.2065106863434318,1.6043115578771125,0.6788977942489955,1.0054280935855249,1.0188408325563554,0.5786144151284741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_BDL,1.3407643251508798,1.2750400536413833,0.7980924845547385,1.0192646996144539,0.7751782453768029,1.3204986424258194,1.0372409920144887,1.5798881108538385,1.0395310628905146,1.837851883055542,1.3498281139571613,1.218487308294833,1.16389300044879,1.5004917712943788,1.813993252322806,1.0736852557563166,0.8591006889689023,0.43201193516955205,1.055505683599101,1.6006307267003699,1.2501556331096388,1.4678598462118744,1.0910814476336828,1.5727084100711881,1.039761680034443,0.6892895243506291,0.5949063799027776,1.5890892585902607,1.109081874136212,1.1125158222986489,1.549310038543938,0.9012599420931597,1.4402545877449975,1.782907636790555,1.1684898081682946,0.7574121449860794,2.3025602555693863,1.4457333970036044,1.4015535809299906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
