,R_AAA,R_ABE,R_ADO,R_AED,R_AEI,R_AGB,R_AGS,R_AHN,R_AIQ,R_AJI,R_AJY,R_AKC,R_AKF,R_AKQ,R_ALR,R_AMJ,R_AMZ,R_ANQ,R_ANT,R_APE,R_APY,R_AQI,R_AQK,R_ASN,R_ATG,R_AUD,R_AUF,R_AUK,R_AVI,R_AVP,R_AVR,R_AXN,R_AYM,R_AZX,R_BAF,R_BAH,R_BAN,R_BBG,R_BBU,R_BDL,R_BDR,R_BFS,R_BHA,R_BHI,R_BHP,R_BIF,R_BKQ,R_BKY,R_BLB,R_BLD
R_ATG,0.7876647826789239,0.6719931831746878,0.25528940817211737,0.09772221043744977,0.6411081806093453,0.554053745943177,0.4716062462369225,0.9533669343659421,0.2516936167126212,1.0254172505626022,0.4376358484732446,0.3168434250876098,0.5107351537694987,0.5932704288108378,0.954579266938595,0.7754494988667476,0.5784498099287759,0.4156915948609681,0.6913832178035285,1.0450467288363996,0.5103017479547558,0.5729299878958697,0.6246955998764828,0.7036836532822677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AUD,0.9445876921166501,0.8104876173538678,0.2813700947265041,0.3741894687918942,0.4963784619344855,0.5612453323250657,0.6057878783781531,1.0766294533904675,0.180896042063731,1.2301385753897454,0.6593613347005499,0.3228180811500878,0.6785595574385624,0.7514949081119364,1.1286619037566346,0.8179593036418437,0.6099206915597697,0.35327453266789427,0.7224731870700913,1.1694763184677253,0.5807980207215694,0.6890460168938671,0.633371999054466,0.8702689766848476,0.41258282695797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AUF,0.5664550425084491,0.5380703638331619,0.26126406423458365,0.33875118203287086,0.17522935562471773,0.4686581010046335,0.3939470227082425,0.7033186976608001,0.32870873063042383,0.8315783063028142,0.3993565161982962,0.31628631432694976,0.4482293540746465,0.5483211236226555,0.659390580200024,0.5569118492226466,0.24247509408118695,0.2895107646117282,0.32967777003042487,0.7199742506383865,0.44012926609675973,0.48509957667185677,0.28227913037768815,0.6266994006324964,0.4364789078155918,0.3368192931342155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AUK,0.11580630892988186,0.22997367544566158,0.6584710148966617,0.6825664971333446,0.5467570391437576,0.37665837649570527,0.3838065117799389,0.32994118825815916,0.7609678898523605,0.19180357385028218,0.23917718186397363,0.4504251378509246,0.36208156279999,0.38871476721556886,0.21347345183916722,0.2922225589848979,0.4774409029513359,0.9829972316512174,0.3365113950030806,0.3170662878308847,0.37443287718058715,0.40201916825024736,0.4558657589420287,0.36383832273049904,0.8466384754659442,0.9679051952900359,0.6483486931206139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AVI,0.30102908494757125,0.2656698650871368,0.38019519647502625,0.4066623444356617,0.3448359051222425,0.28858671274743153,0.251633541471509,0.36825486750738284,0.479386728777896,0.41087900443688824,0.22587584075365874,0.3617281049343092,0.23352441134003057,0.28583987823512674,0.3955725083072561,0.2793882140420697,0.11576625761481753,0.6192428056424572,0.20337092173268306,0.454997941847663,0.3003532134441722,0.274440712469476,0.227961758872112,0.29022565516157023,0.5769408341795024,0.6475377439641093,0.3023701411935878,0.3261652531917243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AVP,0.5418270732258151,0.3540337688494272,0.44114180166392414,0.4160554918658945,0.7915591651956213,0.44083413775783764,0.24605085815173985,0.6587233239298449,0.5434294354443852,0.6902549201595044,0.3524695275250309,0.4081303455851028,0.25406246588970915,0.2866148440261029,0.7595763254342908,0.5555627698197936,0.6165944061842528,0.8780898473924519,0.6432948582687577,0.8610622045796507,0.5111355363862953,0.2460658778277401,0.6586591789575577,0.3861598371116475,0.5769755771020502,0.8088923008813739,0.674549959108192,0.5494611283055577,0.4501466823973525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AVR,0.18092608141575417,0.4649829770199836,0.7272031038820796,0.6917367853494795,0.5167363700478884,0.5917865297892548,0.4876924211681699,0.26285897988930096,0.7689417043916095,0.22145001251213592,0.43661828861306407,0.619104954598879,0.504441653563007,0.5986321860059218,0.1845168651622675,0.329627710215243,0.4308722216624798,1.0120472354166825,0.22799679901128656,0.24678577262759177,0.6075090876201876,0.5238526513956824,0.430872221662478,0.4721241238462978,0.9239941202565588,1.0953608596782527,0.6090839724230034,0.2519314956689951,0.37968763844317754,0.7557830435406272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AXN,0.8612518190387954,0.6588334832910192,0.3657908960242249,0.44206108350308604,0.3773236690872194,0.40889784878799407,0.5563082568276259,0.9217517626374995,0.2395491306805802,1.0662804035851186,0.575361901806407,0.32566894963355375,0.6091708232506615,0.6844898097978677,0.9553122522408931,0.6557247049992692,0.49614057605228024,0.3003832527961915,0.5385773398233769,0.9925439580180558,0.548560363138736,0.6291599573957326,0.5214713284547619,0.792424408026632,0.5128035871608985,0.29747731678457145,0.27141665761917033,0.8200707674115412,0.5205410332926841,0.7559370478270182,0.9029950876544169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AYM,0.25841319921403266,0.383745293928216,0.7001581923642544,0.7714341135393523,0.430424677222234,0.5339868388836563,0.4090617365882018,0.3323388626843088,0.8244942269196462,0.439568247921169,0.3563336345831511,0.6130736512777447,0.4018200869282169,0.4715022089279364,0.2533075309505973,0.4102879724000258,0.3863589864629826,0.9327086955572943,0.28739481406706585,0.2135034911911879,0.400082339668,0.4614456008114784,0.32408507474759257,0.5120261400243094,0.9116774643388218,0.9664587107101253,0.6038612860880133,0.28813974050601104,0.3246858513338493,0.6705290300046164,0.2974773167845682,0.8570906283151875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_AZX,0.33801126330690134,0.6018243148676771,0.8618317803536747,0.9208369099434652,0.6251383913434423,0.7396349406018875,0.6473943411655491,0.3408971753924513,0.9677946578833722,0.385771836350294,0.5899381589420147,0.7970499628375015,0.6607004577540542,0.7542358672165006,0.17368943600582654,0.5173222683770108,0.5320493416654978,1.1322517728049422,0.3681307415807752,0.1447628921438665,0.7277574120229896,0.6757946017155775,0.5385015815202312,0.6241159100746854,1.0758898001766772,1.2294621484836068,0.7421461441823743,0.4453839558670143,0.5084826723224204,0.9155729458692705,0.2677708028815807,1.05616297908289,0.27867833120522145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
