,K_ABP,K_AFB,K_AFI,K_AFJ,K_AGF,K_AGH,K_AGL,K_AHV,K_AIA,K_AID,K_AIE,K_AJL,K_AKF,K_AKG,K_ALX,K_AMC,K_AMI,K_ANF,K_ANI,K_API,K_APJ,K_AQB,K_AQE,K_AQN,K_AQU,K_ARL,K_ARU,K_ASX,K_ATK,K_AWC,K_AWX,K_AXF,K_AYP,K_AZM,K_AZU,K_BAM,K_BBX,K_BDE,K_BES,K_BHH,K_BHO,K_BHQ,K_BIP,K_BIQ,K_BJU,K_BJX,K_BKM,K_BLA,K_BLJ,K_BLU
K_APJ,17.358008548579832,17.676190366761652,2.353566591502863,16.709948831081284,16.56242480415888,16.429091470825544,15.940202581936656,16.140202581936656,17.215745932530563,16.429091470825544,17.0541297709144,16.140202581936656,17.676190366761652,17.47619036676165,36.48856640214072,18.702779565115257,41.22062051250626,0.38874922123152655,0.13842775581906017,0.11269520278620379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQB,7.1,7.4,0.6831081210506585,6.651515151515151,5.867424242424242,5.950757575757576,5.659090909090909,5.742424242424242,7.0,5.950757575757576,6.575,5.742424242424242,7.4,7.358333333333334,102.35497835497836,63.000757575757575,53.89013282732448,19.524242424242424,10.599242424242425,12.24707540521494,12.008139534883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQE,7.1,7.4,0.6831081210506585,6.651515151515151,5.867424242424242,5.950757575757576,5.659090909090909,5.742424242424242,7.0,5.950757575757576,6.575,5.742424242424242,7.4,7.358333333333334,102.35497835497836,63.000757575757575,53.89013282732448,19.524242424242424,10.599242424242425,12.24707540521494,12.008139534883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQN,17.82522115565594,18.110935441370223,2.3566689842145556,17.13939393939394,17.222811970638055,17.131902879728965,16.56372106154715,16.81372106154715,17.760935441370226,17.131902879728965,17.543402973837757,16.81372106154715,18.110935441370223,17.883662714097497,41.67259552042161,19.574581215885562,89.0469696969697,19.27190852625635,6.668186523621307,34.774505928853756,34.56638120333773,21.061321287408244,21.061321287408244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQU,17.475076855511638,17.74780412823891,2.3810982604589612,16.782828282828284,16.89532279314888,16.80643390425999,16.250878348704436,16.49532279314888,17.39780412823891,16.80643390425999,17.191743522178307,16.49532279314888,17.74780412823891,17.525581906016686,40.98219148001757,19.2100790513834,87.28282828282828,18.927031181379007,6.549066754501537,34.61086956521739,34.408300395256916,20.55713658322354,20.55713658322354,0.06767676767676768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ARL,17.56346069389548,17.83618796662275,2.379410303022496,16.87121212121212,16.971080368906456,16.882191480017568,16.326635924462014,16.571080368906458,17.486187966622747,16.882191480017568,17.280127360562144,16.571080368906458,17.83618796662275,17.613965744400527,41.14481774264383,19.297452788757134,87.81313131313132,19.004303908651735,6.564723320158102,34.774505928853756,34.56638120333773,20.80562143170839,20.80562143170839,0.04494949494949495,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ARU,27.133375619882365,27.616134240572023,0.7295231384101771,26.7080786529812,25.962134317456655,25.92046765078999,25.087134317456655,25.42046765078999,27.666411986314536,25.92046765078999,27.266986698958213,25.42046765078999,27.616134240572023,27.366134240572023,67.54695248529582,34.37031003728905,60.67356103731815,2.794352823588206,0.3624437781109445,4.47522903453136,4.446088284258153,18.426796217275978,18.426796217275978,24.7388198757764,24.183552920509445,24.384563021519543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ASX,1.5656766944232037,1.6011197323978872,14.604936909892468,1.529909716869194,1.492527768054897,1.489957073967493,1.446255274481632,1.466820827180861,1.580776919368299,1.489957073967493,1.5504752695684227,1.466820827180861,1.6011197323978872,1.5985490383104837,4.733321303029594,2.461941944310624,5.755499552154111,0.3005513274776866,0.13753311056074038,2.458735119703562,2.463817687331911,1.0951300482904742,1.0951300482904742,3.739494337579009,3.833541866760921,3.803097864961782,0.25699317447730924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ATK,20.843198792308915,21.294811695534722,0.8218043364005905,20.363658032734783,19.886659780708722,19.850945494994438,19.24380263785158,19.529516923565865,21.029556650246306,19.850945494994438,20.64937231844907,19.529516923565865,21.294811695534722,21.259097409820434,62.875774670268555,32.73561894168123,72.43522214224956,3.998649292865088,1.822223105037343,9.857505285412262,9.633589177926892,14.579969807722867,14.579969807722867,25.998089591567854,25.40415019762846,25.630412823891085,3.4112505959002064,0.005141388174807198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AWC,2.4826725257165685,2.5089883151902526,1.391418547400965,1.2787875761510037,1.5186757215619693,1.5186757215619693,1.4598521921502048,1.489263956856087,1.090931788674723,1.5186757215619693,1.2348946369719365,1.489263956856087,2.5089883151902526,2.4501647857784876,88.3050034954559,48.7685009487666,97.90871866573454,25.940926795166284,8.811694796764206,29.02248649283533,28.733525599779394,9.499550584240488,9.499550584240488,29.403237342367778,28.684694773825207,28.997321036451467,30.73204833716169,2.8921268938245857,31.12743433536403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
