,R_ABU,R_ADV,R_AFZ,R_AKK,R_AKY,R_ARC,R_ARU,R_AVB,R_AVD,R_AVF,R_AVK,R_AWU,R_AZS,R_BCU,R_BDC,R_BFS,R_BML,R_BNG,R_BRF,R_BTH,R_BUX,R_CAV,R_CCJ,R_CCQ,R_CCZ,R_CDU,R_CEX,R_CFV,R_CIV,R_CNH,R_COQ,R_CPD,R_CRC,R_CYW,R_DAQ,R_DDN,R_DGV,R_DJT,R_DOY,R_DUB,R_DUV,R_DVK,R_DYX,R_EBK,R_ECN,R_ECP,R_EDS,R_EDX,R_EFS,R_EHK
R_CNH,2.2968812277548945,2.953569642525796,1.8049081081366722,3.623610077972003,4.148594972309933,3.571732351825102,2.1097529341921972,3.1384115470718994,3.6309961182891954,3.713589150046952,2.8856030281278433,2.2241539515076023,6.382352027574651,4.037523252007818,4.76103298902768,5.265232224662004,1.8350388744725177,3.1503730190918326,4.543645001596021,3.4329516730377527,2.623921842807164,3.862546366602156,4.354463051044876,4.652776570953916,4.064370616473223,1.2189379621130416,3.10448486673157,4.451580975883205,2.7906140215539006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_COQ,1.385729513770932,1.4320789006976238,0.7261323046082956,1.6179817248307846,1.1989473075385715,0.9054462559221123,1.3293260496928454,1.9747348550698742,1.3473019332326137,0.9414968825039421,0.49463833286285086,1.2278643806947886,2.098936592156407,1.4779876150566604,3.156674593187686,1.5329390079911873,1.069775057044318,2.3859045394569445,1.534293142705108,1.1071845354843866,1.0654251393519156,2.7550052444604085,0.966395155541394,1.92440589765256,1.5874874520500712,0.9010021988027198,0.8555266066848474,2.39498901144063,0.7727851855659721,2.701598079123506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CPD,2.6526699086566454,1.7074756760821128,0.9774705534656004,1.9892236498108091,1.4357592316394139,0.9658204544640221,2.2758441933178224,3.566721077284403,5.266169870164445,4.05688282859415,0.7142636809381856,1.439479370251512,2.7044108528878157,2.281894544260893,2.9914156243374155,1.4694312065582094,0.7224066984245363,2.68740306471256,1.8274393655735637,1.2485353656090394,0.5753290599376005,2.567568325088185,0.9379460200516994,2.1836817473201235,2.2893499076817645,0.8475774940416154,0.9358246828869378,2.8843489387234262,1.645855925589086,3.166694164798866,1.0051400226260714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CRC,2.265916189130519,1.8957340950482724,1.4977331452930391,0.3793731110075405,0.7776397655032065,0.36121385497557584,1.7499417574481535,0.3217526151353357,2.118987809056441,2.2565484270518716,0.6754910695151124,2.3933835107676016,2.118739029624754,1.7523811262448594,3.819009842219006,1.4426685967099997,1.3725196928998178,2.883019967660417,1.0365718449068124,1.8886200675131304,1.1942924674565587,3.4074620694319355,1.0678509291218814,2.4411203071899648,1.833592812225285,0.7523028065231268,0.4294847302157068,2.168130307485716,1.424925777040248,3.380955625234257,1.0485000778772386,0.8647108275731074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CYW,0.4404943141642481,1.9127199408132405,0.7441439474867046,1.1258468019354009,0.7787216918349911,1.01219036354684,0.4357233692349402,0.8308853222071156,0.5267815219997708,0.541968111948071,0.7880634033353142,1.8610661493265643,1.4341377601704148,0.7754598973732519,3.9225622537414124,1.7442990741155802,1.2832874446720666,2.051166242269527,0.9610817277959833,1.708107027484742,1.6954079093390049,3.519878868063309,1.6923468197791949,2.455933075710209,0.716633130050011,0.5924703410993241,0.9235384131161943,1.413744404368981,0.40727467356752517,2.503784226794371,0.5890825064072247,1.4409057550783408,1.3087438475823168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DAQ,1.4075381608165576,3.527328864115639,2.078931636820725,1.5971001572430572,0.687269385471358,1.5844403737519426,1.261948644293101,1.7600738574002706,2.059017334678444,1.540068093878681,1.927907139682446,3.4623905472242247,2.332181608109083,0.28161758376962065,6.188456082852745,4.416907973843912,3.751075810976179,6.007040147866472,1.076442725000046,3.6643071751400633,3.2719366127385405,5.6726469291718145,2.7442390610606875,5.306510531719475,0.41431565378838026,1.4009798244155094,1.8622826995712565,0.7464156377031673,0.6836665358473636,3.9534453800112237,2.005233876291948,3.1633407235325235,2.003670574884959,1.0185623451811052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DDN,1.3639034890860378,3.2738681268835297,2.6576153465280457,2.3515964994391894,1.573544043884342,1.3840063337135986,2.1832353773204987,3.0248806615627655,2.7430897542537855,1.501981654182161,1.2426740940000616,3.1864526433789306,2.5117033173900145,0.6713478271242524,5.751014210123112,3.3764760956043003,3.602244135309188,6.851834079073472,1.908680018383756,3.3051749264347645,3.220430511494222,5.278786241607326,1.1727046854831085,4.387262985862331,0.8950722596891462,2.121565352128932,1.31479946001834,2.827832422037477,0.6648378075829222,4.678932386595322,1.3622915819663688,2.021628693102837,1.7106227189162233,1.3715687346452763,0.7694975265171127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DGV,2.9461874596361555,1.349142418111593,0.4257960474464539,2.275848055112092,1.6055828852255816,1.1433906673596907,2.253339831246496,3.848589556366176,5.076095822461936,4.111796058367484,0.5678493969217382,2.711275952173645,2.296874286279481,2.37839506219553,1.3094547700563477,1.0083613492844066,0.8937433316256335,1.2943961604148553,1.7004246281770106,0.621805080375628,0.8902034981645883,0.7364459849365202,0.3593879354477268,1.1401009953974621,2.2051861187147095,1.141715266144103,1.1408819684877256,3.16588511613388,1.8430047671717182,4.2694964426876805,1.2007912473430693,0.6557818599735152,1.2229800742375594,1.5745021459739048,3.319551511403704,1.7928958706133336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DJT,2.4753861761918725,1.4936150609025673,1.1098395331918653,1.983822508089728,2.0256746752646153,1.377274109342577,2.2941452565380063,2.806340830912437,4.127276422018033,3.486122835349761,0.9688245091621112,0.7356355803871486,3.74219170009257,2.73475494388264,2.8692491188681357,2.124919527997726,0.7392287399393982,2.3236241358346486,2.5874906283578056,1.400007626092784,0.5606339156487941,2.5150597612109094,2.0576689848362104,2.2596728937262838,2.900568838507549,0.9859255073448734,1.1719917949814145,3.27849938843429,1.9679327708673642,2.4330841959829477,1.0802309072066678,0.7516600557730339,1.3281005721757173,1.745790963075538,3.1695305863823586,3.2373081983362697,1.5238400018141758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DOY,1.5310763346912701,2.1145842035222913,1.1526327560659515,1.2756808871917722,1.5215360787541292,1.2319746013348092,1.4658730681680587,1.8636848489643603,2.258227304770614,1.537066769706657,0.7936781237520153,1.869249873796449,3.230018185911801,1.7181315826407524,4.23481096489503,2.9288920024706364,2.1582072179979157,4.386590801878584,2.19366222653149,1.9110585591333307,1.9386111901933265,3.8419012210822565,1.2563323287455124,3.538750352777655,1.922466878913643,1.0252725156737093,1.0914582665464687,2.6473385213719127,0.7047458167344496,2.983388208583021,0.5398737558363641,1.874387855484612,1.3722771814232266,1.0405316929337451,1.7857850922622367,1.6430707043959603,2.108199310119325,1.576711522864864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
