,K_ABP,K_AFB,K_AFI,K_AFJ,K_AGF,K_AGH,K_AGL,K_AHV,K_AIA,K_AID,K_AIE,K_AJL,K_AKF,K_AKG,K_ALX,K_AMC,K_AMI,K_ANF,K_ANI,K_API,K_APJ,K_AQB,K_AQE,K_AQN,K_AQU,K_ARL,K_ARU,K_ASX,K_ATK,K_AWC,K_AWX,K_AXF,K_AYP,K_AZM,K_AZU,K_BAM,K_BBX,K_BDE,K_BES,K_BHH,K_BHO,K_BHQ,K_BIP,K_BIQ,K_BJU,K_BJX,K_BKM,K_BLA,K_BLJ,K_BLU
K_AQE,0.1420267538365394,0.1420267538365394,0.11479914004630662,0.11485534129133183,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.11479914004630662,0.1420267538365394,0.1420267538365394,0.0709816860379054,0.08169933694762295,0.08202218649247127,0.08169933694762295,0.08169933694762295,0.0,0.0,0.010754969882944354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQN,0.09910916084473856,0.09910916084473856,0.061478294484032386,0.11874708387015322,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.09910916084473856,0.09910916084473856,0.1103085542004926,0.045320820773357647,0.045320820773357647,0.045320820773357647,0.045320820773357647,0.08104942999843943,0.08104942999843943,0.08104942999843943,0.08104942999843943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQU,0.09910916084473856,0.09910916084473856,0.061478294484032386,0.11874708387015322,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.09910916084473856,0.09910916084473856,0.1103085542004926,0.045320820773357647,0.045320820773357647,0.045320820773357647,0.045320820773357647,0.08104942999843943,0.08104942999843943,0.08104942999843943,0.08104942999843943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ARL,0.09910916084473856,0.09910916084473856,0.061478294484032386,0.11874708387015322,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.11869651554803472,0.09910916084473856,0.09910916084473856,0.1103085542004926,0.04534753441055318,0.04534753441055318,0.04534753441055318,0.04534753441055318,0.08104942999843943,0.08104942999843943,0.08104942999843943,0.08104942999843943,0.01552768642444093,0.01552768642444093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ARU,0.09910916084473856,0.09910916084473856,0.05673129306021873,0.11869651554803472,0.11874708387015322,0.11874708387015322,0.11874708387015322,0.11874708387015322,0.11874708387015322,0.11874708387015322,0.11874708387015322,0.11874708387015322,0.09910916084473856,0.09910916084473856,0.1411877965338647,0.06169228358971416,0.06169228358971416,0.06169228358971416,0.06169228358971416,0.11757996813850151,0.11757996813850151,0.11757996813850151,0.11757996813850151,0.041031276111294396,0.041031276111294396,0.041031276111294396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ASX,0.12098158148121524,0.12098158148121524,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.12098158148121524,0.12098158148121524,0.13272626311231422,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.0655782839500119,0.0655782839500119,0.0655782839500119,0.0655782839500119,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ATK,0.12098158148121524,0.12098158148121524,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.12098158148121524,0.12098158148121524,0.13272626311231422,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.0655782839500119,0.0655782839500119,0.0655782839500119,0.0655782839500119,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.10933287304783713,0.019842028734306537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AWC,0.12098158148121524,0.12098158148121524,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.09202132948320355,0.12098158148121524,0.12098158148121524,0.09013573891826436,0.06305670797613844,0.06305670797613844,0.06305670797613844,0.06305670797613844,0.034783160373842166,0.034783160373842166,0.034754767910653676,0.034783160373842166,0.06341877971341764,0.06341877971341764,0.06341877971341764,0.09879571143119391,0.05046782480623451,0.04678207229123667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AWX,0.11921200507918368,0.11921200507918368,0.09707181814637209,0.09700498647464784,0.09707181814637209,0.09707181814637209,0.09707181814637209,0.09707181814637209,0.09700498647464784,0.09707181814637209,0.09700498647464784,0.09707181814637209,0.11921200507918368,0.11921200507918368,0.07047142621718741,0.06512815274881316,0.06512815274881316,0.06512815274881316,0.06512815274881316,0.0316479774238107,0.0316479774238107,0.0316479774238107,0.0316479774238107,0.056433250137205154,0.056433250137205154,0.056433250137205154,0.09398720586047989,0.09012883696233245,0.08964123867860317,0.04383623462186466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AXF,0.040701715708028496,0.040701715708028496,0.08257879105451896,0.05673129306021873,0.05673129306021873,0.05673129306021873,0.05673129306021873,0.05673129306021873,0.05673129306021873,0.05673129306021873,0.05673129306021873,0.05673129306021873,0.040701715708028496,0.040701715708028496,0.1411877965338647,0.11616916122859458,0.11616916122859458,0.11389872961849047,0.11389872961849047,0.11757996813850151,0.11757996813850151,0.11757996813850151,0.11757996813850151,0.11616916122859458,0.11616916122859458,0.11616916122859458,0.11244734159736695,0.09990298085636391,0.09990298085636391,0.09990298085636391,0.09317935832276139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
