,K_ABP,K_AFB,K_AFI,K_AFJ,K_AGF,K_AGH,K_AGL,K_AHV,K_AIA,K_AID,K_AIE,K_AJL,K_AKF,K_AKG,K_ALX,K_AMC,K_AMI,K_ANF,K_ANI,K_API,K_APJ,K_AQB,K_AQE,K_AQN,K_AQU,K_ARL,K_ARU,K_ASX,K_ATK,K_AWC,K_AWX,K_AXF,K_AYP,K_AZM,K_AZU,K_BAM,K_BBX,K_BDE,K_BES,K_BHH,K_BHO,K_BHQ,K_BIP,K_BIQ,K_BJU,K_BJX,K_BKM,K_BLA,K_BLJ,K_BLU
K_ANI,2.50816184433575,2.50816184433575,22.068284200539633,2.50816184433575,2.0523622626795244,2.0523622626795244,2.0523622626795244,2.0523622626795244,2.50816184433575,2.0523622626795244,2.50816184433575,2.0523622626795244,2.50816184433575,2.50816184433575,2.0,2.0,2.0,1.5500678685858036,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_API,3.077337253406106,3.077337253406106,27.529359173704385,3.123210447644291,3.1306973343692293,3.1306973343692293,3.1306973343692293,3.1306973343692293,3.125410532915417,3.128513022039269,3.1308943058919714,3.128513022039269,3.077337253406106,3.077337253406106,2.0,2.0,2.0,0.9041614253994901,1.8323866764905805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_APJ,3.077337253406106,3.077337253406106,27.53107045285249,3.123210447644291,3.1306973343692293,3.1306973343692293,3.1306973343692293,3.1306973343692293,3.125410532915417,3.128513022039269,3.1308943058919714,3.128513022039269,3.077337253406106,3.077337253406106,2.0,2.0,2.0,0.892570042966202,1.8323866764905805,0.01159138243328807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQB,2.4136344680193336,2.4136344680193336,35.22541164156342,2.376814879112146,2.421633006694031,2.421633006694031,2.421633006694031,2.421633006694031,2.376814879112146,2.421633006694031,2.4664750755123537,2.421633006694031,2.4136344680193336,2.4136344680193336,2.0,2.0,2.0,0.8542433361199127,1.7468141112879938,1.563692766711299,1.563692766711299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQE,2.414176831985336,2.414176831985336,35.22541164156342,2.376814879112146,2.421633006694031,2.421633006694031,2.421633006694031,2.421633006694031,2.376814879112146,2.421633006694031,2.4664750755123537,2.421633006694031,2.414176831985336,2.414176831985336,2.0,2.0,2.0,0.8491101540044381,1.7468141112879938,1.5652643230118013,1.5652643230118013,0.010266364230948852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQN,2.962827731792574,2.962827731792574,31.538558882097327,2.9291726553944155,2.970734584228637,2.970734584228637,2.970734584228637,2.970734584228637,2.9291726553944155,2.970734584228637,2.947339678309053,2.970734584228637,2.962827731792574,2.962827731792574,2.0,2.0,2.0,1.4376257589508277,1.8323866764905805,1.921420994640086,1.9098296122067977,0.3807927973522768,0.38188566786483985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AQU,2.962827731792574,2.962827731792574,31.538558882097327,2.9291726553944155,2.970734584228637,2.970734584228637,2.970734584228637,2.970734584228637,2.9291726553944155,2.970734584228637,2.947339678309053,2.970734584228637,2.962827731792574,2.962827731792574,2.0,2.0,2.0,1.4376257589508277,1.8323866764905805,1.921420994640086,1.9098296122067977,0.3807927973522768,0.38188566786483985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ARL,3.046507683468974,3.046507683468974,31.62223883377372,3.0128526070708146,3.0544145359050368,3.0544145359050368,3.0544145359050368,3.0544145359050368,3.0128526070708146,3.0544145359050368,3.031019629985453,3.0544145359050368,3.046507683468974,3.046507683468974,2.0,2.0,2.0,1.4455394428310353,1.8323866764905805,1.937322543481917,1.9257311610486287,0.3807927973522768,0.38188566786483985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ARU,1.9936568694765544,1.9936568694765544,27.457706989271312,2.000093018435108,2.0086872122094754,2.0086872122094754,2.0086872122094754,2.0086872122094754,2.000093018435108,2.0086872122094754,1.9601920490550966,2.0086872122094754,1.9936568694765544,1.9936568694765544,2.0,2.0,2.0,1.4125043664529502,2.0422603309266294,1.0392160640493335,1.0392160640493335,1.8797594665738135,1.8801175973952005,2.089297664268825,2.089297664268825,2.089297664268825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ASX,13.84610145288879,13.84610145288879,34.536887700794985,13.86533285427391,13.867707172426515,13.867707172426515,13.867707172426515,13.867707172426515,13.867438132006901,13.866408839239545,12.474661505615256,13.866408839239545,13.84610145288879,13.84610145288879,2.0,2.0,2.0,17.93561439869593,10.809892617289128,6.903883597383349,6.903883597383349,8.06977351291057,8.06977351291057,7.07407154696245,7.07407154696245,7.100044032083485,3.6672952622184494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_ATK,2.037407795178007,2.037407795178007,32.19335776760307,2.0888912001167497,2.088094305649219,2.088094305649219,2.088094305649219,2.088094305649219,2.0909964778497403,2.086795972462248,2.0566785766964326,2.086795972462248,2.037407795178007,2.037407795178007,2.0,2.0,2.0,1.535310167643794,1.948188415294198,1.0842983157557509,1.0824418020499187,1.877317739131635,1.878583903795618,2.031062674449159,2.031062674449159,2.031062674449159,0.3465994448994396,3.52128311475181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AWC,2.1411100003639847,2.1411100003639847,33.055116077421694,1.7028967697669635,1.723453349803255,1.723453349803255,1.723453349803255,1.723453349803255,1.7028967697669635,1.723453349803255,1.6512500586416485,1.723453349803255,2.1411100003639847,2.1411100003639847,2.0,2.0,2.0,3.699486020423646,2.5913274212777813,3.3142802503625335,3.314264477421367,1.522356202724204,1.521839257549578,1.5844070086722088,1.5844070086722088,1.5844070086722088,3.0478840981580673,5.459736865378357,3.1297763718325973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AWX,2.020193443803403,2.020193443803403,46.03586348384352,2.0339626584776407,2.060376549574602,2.060376549574602,2.060376549574602,2.060376549574602,2.0890599272968178,2.0052792807554254,2.3099980907781075,2.0052792807554254,2.020193443803403,2.020193443803403,2.0,2.0,2.0,0.7649166384770968,1.7037741345528863,1.139622478639073,1.1377659649332408,1.2432647910480743,1.2437817362227002,1.450598559678621,1.450598559678621,1.450598559678621,0.6135423367312662,5.444746623799206,0.445816510166022,2.7940138344260665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AXF,2.083381417153795,2.083381417153795,47.019380962529915,2.070286997759027,2.166905450654534,2.166905450654534,2.166905450654534,2.166905450654534,2.122742870747496,2.114449577666064,2.342270629873545,2.114449577666064,2.083381417153795,2.083381417153795,2.0,2.0,2.0,1.02915156698238,1.767358946547216,1.529015858805506,1.529015858805506,0.9061138733012291,0.9055969281266033,1.1478017487668561,1.1478017487668561,1.1478017487668561,1.3274789865198955,6.102127683652812,1.2242306469211417,1.8472204021390546,0.6001972690102301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AYP,0.4269253683178859,0.4269253683178859,35.96930875348412,0.4584035476587568,0.4693251114192492,0.4693251114192492,0.4693251114192492,0.4693251114192492,0.4606177563051974,0.4671109027728086,0.4606368942855587,0.4671109027728086,0.4269253683178859,0.4269253683178859,2.0,2.0,2.0,1.7137286259091788,1.7283905112445952,2.4323630867062582,2.4323630867062582,1.8002662870590824,1.8002662870590824,2.3142436851705837,2.3142436851705837,2.397923636846983,1.4016379248654427,9.446215417233647,1.4076330390014606,2.058266062791193,1.3031342878785808,1.4495930481299426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_AZM,0.5139946221392511,0.5139946221392511,40.30338291450159,0.5123958935116256,0.5612671333142546,0.5612671333142546,0.5612671333142546,0.5612671333142546,0.5410370761195481,0.5326259507063321,0.5983571177405534,0.5326259507063321,0.5139946221392511,0.5139946221392511,2.0,2.0,2.0,1.788510526711749,1.7283905112445952,2.6064839714814116,2.6064839714814116,1.9304518809968176,1.9304518809968176,2.4500736330574404,2.4500736330574404,2.5420997831743835,1.4343533086804947,9.47275423006739,1.434171851835202,2.2254149536542385,1.329673100712322,1.4676528712819426,0.028650451820322047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
